Course Title,Course Code,Class,Date,Period
COMPUTER PROGRAMMING USING C#,COM 316,Computer Science HND I,01-02-2023,AM
Use of English III,GNS 301,Computer Science HND I,02-02-2023,AM
Operating System 1,COM 311,Computer Science HND I,03-02-2023,AM
Python Programing Language,COM 315,Computer Science HND I,05-02-2023,AM
Computer Programming Using C++,COM 313,Computer Science HND I,06-02-2023,AM
Operations Research 1,STA 314,Computer Science HND I,07-02-2023,AM
Computer Architecture,COM 314,Computer Science HND I,09-02-2023,AM
Database Design 1,COM 312,Computer Science HND I,10-02-2023,AM
Statistics Theory,STA 311,Computer Science HND I,13-02-2023,AM
PROJECT MANAGEMENT,COM 412,Computer Science HND II,01-02-2023,PM
Communication in English IV,GNS 401,Computer Science HND II,02-02-2023,PM
French For Technical Purpose II,GNS 417,Computer Science HND II,03-02-2023,PM
Multimedia,COM 415,Computer Science HND II,04-02-2023,PM
WEB Development (PHP),COM 411,Computer Science HND II,05-02-2023,PM
Organization of programming languages,COM 416,Computer Science HND II,07-02-2023,PM
Data Communications & Networks,COM 414,Computer Science HND II,11-02-2023,PM
Compiler Constructions  ,COM 413,Computer Science HND II,14-02-2023,PM
Computer Application Packages 1,COM 115,Computer Science ND I FT,01-02-2023,AM
Citizenship Education 1,GNS 111,Computer Science ND I FT,05-02-2023,AM
Intro to Web Design,COM 116,Computer Science ND I FT,06-02-2023,AM
Introduction to Digital Electronics,COM 112,Computer Science ND I FT,07-02-2023,AM
Logic and Linear Algebra,MTH 111,Computer Science ND I FT,08-02-2023,AM
Introduction to Computing,COM 111,Computer Science ND I FT,09-02-2023,AM
Statistics for Computing 1,STA 114,Computer Science ND I FT,10-02-2023,AM
Use of English 1,GNS 101,Computer Science ND I FT,11-02-2023,AM
Introduction to Programming using OO VISUAL BASIC,COM 113,Computer Science ND I FT,12-02-2023,AM
Computer Application Packages 1,COM 115,Computer Science ND I PT,01-02-2023,AM
Citizenship Education 1,GNS 111,Computer Science ND I PT,05-02-2023,AM
Intro to Web Design,COM 116,Computer Science ND I PT,06-02-2023,AM
Introduction to Digital Electronics,COM 112,Computer Science ND I PT,07-02-2023,AM
Logic and Linear Algebra,MTH 111,Computer Science ND I PT,08-02-2023,AM
Introduction to Computing,COM 111,Computer Science ND I PT,09-02-2023,AM
Use of English 1,GNS 101,Computer Science ND I PT,11-02-2023,AM
Introduction to Programming using OO VISUAL BASIC,COM 113,Computer Science ND I PT,12-02-2023,AM
Programming Language using JAVA II,COM 211,Computer Science ND II FT,01-02-2023,PM
Computer Application Packages II,COM 215,Computer Science ND II FT,03-02-2023,PM
Introduction to Mobile App Development,COM 217,Computer Science ND II FT,05-02-2023,PM
Unified modelling Language (UML),COM 213,Computer Science ND II FT,07-02-2023,PM
Practice of Entrepreneurship,EED 216,Computer Science ND II FT,08-02-2023,AM
Use of English II,GNS 201,Computer Science ND II FT,09-02-2023,PM
Introduction to System programming,COM 212,Computer Science ND II FT,11-02-2023,PM
Computer system trouble shooting,COM 214,Computer Science ND II FT,13-02-2023,PM
Statistics for Computing II,STA 216,Computer Science ND II FT,14-02-2023,PM
Programming Language using JAVA II,COM 211,Computer Science ND II PT,01-02-2023,PM
Computer Application Packages II,COM 215,Computer Science ND II PT,03-02-2023,PM
Introduction to Mobile App Development,COM 217,Computer Science ND II PT,05-02-2023,PM
Unified modelling Language (UML),COM 213,Computer Science ND II PT,07-02-2023,PM
Practice of Entrepreneurship,EED 216,Computer Science ND II PT,08-02-2023,AM
Use of English II,GNS 201,Computer Science ND II PT,09-02-2023,PM
Computer system trouble shooting,COM 214,Computer Science ND II PT,13-02-2023,PM
Statistics for Computing II,STA 216,Computer Science ND II PT,14-02-2023,PM
