Course Title,Course Code,Class,Date,Period
Operations research i,STA 314,Computer Science HND I,02-02-2023,AM
Use of english iii,GNS 301,Computer Science HND I,03-02-2023,AM
Computer programming using c++,COM 313,Computer Science HND I,05-02-2023,AM
Computer architecture,COM 314,Computer Science HND I,09-02-2023,AM
Computer programming using c#,COM 316,Computer Science HND I,10-02-2023,AM
Statistical theory iii,STA 311,Computer Science HND I,11-02-2023,AM
DATABASE DESIGN I,COM 312,Computer Science HND I,12-02-2023,AM
OPERATING SYSTEM I,COM 311,Computer Science HND I,13-02-2023,AM
Python programing language,COM 315,Computer Science HND I,14-02-2023,AM
Organization of programming languages,COM 416,Computer Science HND II,01-02-2023,PM
Compiler constructions  ,COM 413,Computer Science HND II,04-02-2023,PM
Web development (php),COM 411,Computer Science HND II,05-02-2023,PM
Project management,COM 412,Computer Science HND II,07-02-2023,PM
FRENCH FOR TECHNICAL PURPOSES I,GNS 417,Computer Science HND II,10-02-2023,PM
Communication in english iv,GNS 401,Computer Science HND II,11-02-2023,PM
Multimedia,COM 415,Computer Science HND II,13-02-2023,PM
Data communications & networks,COM 414,Computer Science HND II,14-02-2023,PM
USE OF ENGLISH I,GNS 101,Computer Science ND I,02-02-2023,AM
Computer application packages 1,COM 115,Computer Science ND I,04-02-2023,AM
Introduction to digital electronics,COM 112,Computer Science ND I,06-02-2023,AM
Introduction to programming using oo visual basic,COM 113,Computer Science ND I,08-02-2023,AM
Intro to web design,COM 116,Computer Science ND I,10-02-2023,AM
LOGIC AND LINEAR ALGEBRA,MTH 111,Computer Science ND I,11-02-2023,AM
INTRODUCTION TO COMPUTING,COM 111,Computer Science ND I,12-02-2023,AM
Statistics for computing 1,STA 114,Computer Science ND I,13-02-2023,AM
CITIZENSHIP EDUCATION I,GNS 111,Computer Science ND I,14-02-2023,AM
Practice of entrepreneurship,EED 216,Computer Science ND II,03-02-2023,AM
USE OF ENGLISH 11,GNS 201,Computer Science ND II,04-02-2023,PM
Computer package ii,COM 215,Computer Science ND II,05-02-2023,PM
Unified modelling language (uml),COM 213,Computer Science ND II,06-02-2023,PM
Introduction to mobile app development,COM 217,Computer Science ND II,07-02-2023,PM
Computer system trouble shooting,COM 214,Computer Science ND II,11-02-2023,PM
Programming language using java ii,COM 211,Computer Science ND II,12-02-2023,PM
Introduction to system programming,COM 212,Computer Science ND II,13-02-2023,PM
Statistics for computing ii,STA 216,Computer Science ND II,14-02-2023,PM
