Course Title,Course Code,Class,Date,Period
Statistical inference and scientific methods,STA 313,Maths/Statistics HND I,01-02-2023,AM
Operations research i,STA 314,Maths/Statistics HND I,02-02-2023,AM
Technical english ii,STA 315,Maths/Statistics HND I,03-02-2023,AM
COMMUNICATION IN ENGLISH I,GNS 311,Maths/Statistics HND I,09-02-2023,AM
Applied general statistics ii,STA 312,Maths/Statistics HND I,10-02-2023,AM
Statistical theory iii,STA 311,Maths/Statistics HND I,11-02-2023,AM
DATABASE DESIGN I,COM 312,Maths/Statistics HND I,12-02-2023,AM
Mathematical methods ii,MTH 314,Maths/Statistics HND I,14-02-2023,AM
Econometrics,STA 413,Maths/Statistics HND II,02-02-2023,PM
Operations research ii,STA 411,Maths/Statistics HND II,03-02-2023,PM
Sampling techniques iii,STA 412,Maths/Statistics HND II,04-02-2023,PM
Economic and social statistics ii,STA 414,Maths/Statistics HND II,05-02-2023,PM
Small business management ii,STA 418,Maths/Statistics HND II,09-02-2023,PM
Industrial statistics ii,STA 415,Maths/Statistics HND II,10-02-2023,PM
Medical statistics,STA 416,Maths/Statistics HND II,12-02-2023,PM
Design and analysis of experiments iii,STA 417,Maths/Statistics HND II,14-02-2023,PM
Technical english i,STA 113,Maths/Statistics ND I,01-02-2023,AM
USE OF ENGLISH I,GNS 101,Maths/Statistics ND I,02-02-2023,AM
Descriptive statistics i,STA 111,Maths/Statistics ND I,03-02-2023,AM
Elementary probability theory,STA 112,Maths/Statistics ND I,06-02-2023,AM
Functions and geometry,MTH 112,Maths/Statistics ND I,08-02-2023,AM
LOGIC AND LINEAR ALGEBRA,MTH 111,Maths/Statistics ND I,11-02-2023,AM
INTRODUCTION TO COMPUTING,COM 111,Maths/Statistics ND I,12-02-2023,AM
CITIZENSHIP EDUCATION I,GNS 111,Maths/Statistics ND I,14-02-2023,AM
Economic and social statistics i,STA 213,Maths/Statistics ND II,03-02-2023,PM
Linear algebra,MTH 213,Maths/Statistics ND II,04-02-2023,PM
Computer package ii,COM 215,Maths/Statistics ND II,05-02-2023,PM
Statistical theory ii,STA 211,Maths/Statistics ND II,06-02-2023,PM
Calculus ii,MTH 212,Maths/Statistics ND II,08-02-2023,PM
Elements of sampling theory,STA 212,Maths/Statistics ND II,10-02-2023,PM
Industrial statistics i,STA 214,Maths/Statistics ND II,13-02-2023,PM
