Course Title,Course Code,Class,Date,Period
Mechanics,STP 111,Science Laboratory Technology ND I,01-02-2023,AM
USE OF ENGLISH I,GNS 101,Science Laboratory Technology ND I,02-02-2023,AM
General laboratory techniques 1,GLT 111,Science Laboratory Technology ND I,03-02-2023,PM
Inorganic chemistry i,STC 112,Science Laboratory Technology ND I,04-02-2023,AM
General principles of chemistry,STC 111,Science Laboratory Technology ND I,05-02-2023,AM
Morphology and physiology of living things,STB 112,Science Laboratory Technology ND I,06-02-2023,AM
Heat energy,STP 112,Science Laboratory Technology ND I,07-02-2023,AM
LOGIC AND LINEAR ALGEBRA,MTH 101,Science Laboratory Technology ND I,09-02-2023,AM
"Fungi, plant and animal taxonomy",STB 111,Science Laboratory Technology ND I,11-02-2023,AM
Electronic logic for science,STP 113,Science Laboratory Technology ND I,13-02-2023,AM
CITIZENSHIP EDUCATION I,GNS 111,Science Laboratory Technology ND I,14-02-2023,AM
Pathology,STB 212,Science Laboratory Technology ND II,01-02-2023,PM
Introductory microbiology,STM 211,Science Laboratory Technology ND II,02-02-2023,PM
Analytical chemistry and quality control,STC 212,Science Laboratory Technology ND II,03-02-2023,PM
USE OF ENGLISH 11,GNS 201,Science Laboratory Technology ND II,04-02-2023,PM
Computer package ii,COM 215,Science Laboratory Technology ND II,05-02-2023,PM
Inorganic chemistry ii,STC 211,Science Laboratory Technology ND II,07-02-2023,PM
Thermodynamics & electromagnetism,STP 212,Science Laboratory Technology ND II,08-02-2023,PM
Pest and pests control,STB 211,Science Laboratory Technology ND II,09-02-2023,PM
Research methods,GNS 228,Science Laboratory Technology ND II,10-02-2023,PM
Practice of entrepreneurship,EED 226,Science Laboratory Technology ND II,12-02-2023,AM
Introductory electronics,STP 211,Science Laboratory Technology ND II,14-02-2023,PM
